id,name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,sideEffect33,sideEffect34,sideEffect35,sideEffect36,sideEffect37,sideEffect38,sideEffect39,sideEffect40,sideEffect41,use0,use1,use2,use3,use4,Chemical Class,Habit Forming,Therapeutic Class,Action Class,descriptions
444,atarax 25mg injection,,,,,,Sedation,Nausea,Vomiting,Upset stomach,Constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anxiety,Treatment of Skin conditions with inflammation & itching,,,,Piperazine Derivative,No,RESPIRATORY,H1 Antihistaminics (First Generation),Product Summary
445,afoglip m  500 tablet er,Teneliglip-M 500 Tablet ER,Tenipack M Tablet ER,Tenlicure M 500 Tablet ER,Tenemerze M 500mg/20mg Tablet ER,Tenali M 500 Tablet ER,Hypoglycemia (low blood glucose level),Nausea,Vomiting,Diarrhea,Headache,Bloating,Flatulence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,,No,ANTI DIABETIC,,"Afoglip M 500 Tablet ER: View Uses, Side Effects, Price and ... - 1mg"
446,amlozaar tablet,LTK-AM Tablet,Amcard-LP Tablet,Z-Sar-A Tablet,Zilos-AM Tablet,Neopress AM 50mg/5mg Tablet,Sleepiness,Ankle swelling,Headache,"Flushing (sense of warmth in the face, ears, neck and trunk)",Dizziness,Palpitations,Increased potassium level in blood,Fatigue,Nausea,Edema (swelling),Abdominal pain,Visual disturbance,Breathlessness,Change in bowel habits,Nasal congestion (stuffy nose),Upper respiratory tract infection,,,,,,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure),,,,,,No,CARDIAC,,Amlozaar Tablet is a combination of two medicines: Losartan and Amlodipine which lower blood pressure effectively. Losartan is an angiotensin receptor blocker (ARB) and Amlodipine is a calcium channel blocker (CCB).29 Nov 2023
447,abel 40 tablet,Azilura 40 Tablet,Zilarta 40 Tablet,Nexsart 40 Tablet,Azildac 40 Tablet,Altoran 40 Tablet,Dizziness,Muscle damage,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure), Heart failure, Prevention of heart attack and stroke,,,Biphenyls derivatives,No,CARDIAC,Angiotensin receptor blockers(ARB),Abel-40 Tablet 10's contains 'Azilsartan medoxomil' which belongs to the class of 'antihypertensives'. It is primarily used to reduce high blood pressure. It is an angiotensin-II receptor blocker (ARB) that blocks the hormone angiotensin.
448,acolate plus tablet,Leforin PP Tablet,Cybercold 5mg/5mg/500mg Tablet,Alicare Plus Tablet,Codolin 5mg/5mg/500mg Tablet,Fenty Cold 5mg/5mg/500mg Tablet,Vomiting,Dryness in mouth,Headache,Sleepiness,Fatigue,Constipation,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Common cold,,,,,,No,RESPIRATORY,,"Acolate-Plus Tablet 10's is primarily used to treat the common cold and allergy symptoms such as runny nose, blocked nose, sneezing, congestion, pain & fever. It is composed of three medicines, namely, Cetirizine (antihistamine), Phenylephrine (decongestant), and Paracetamol (mild analgesic and antipyretic)."
449,ampilox ds tablet,,,,,,Rash,Vomiting,Allergic reaction,Stomach pain,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,,No,ANTI INFECTIVES,,"Ampilox DS Tablet is a combination of two antibiotics: Ampicillin and Dicloxacillin. These antibiotics work by preventing the formation of the bacterial protective covering which is essential for the survival of bacteria. Together, they treat your infection effectively."
450,asthalin rotacaps,,,,,,Tachycardia,Tremors,Headache,Palpitations,Increased heart rate,Muscle cramp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,Benzyl Alcohols Derivatives,No,RESPIRATORY,Short acting β2-agonists,ASTHALIN ROTACAP contains Salbutamol which belongs to the group of medicines called Bronchodilators. It is used to provide a quick relief from the symptoms of asthma and chronic obstructive pulmonary disease (COPD) in adults and in children (aged 4 years or older).30 Nov 2022
451,asthalin dx syrup,Bronkolyte DC Syrup,Fluoffd Syrup,Kosat D Syrup,Brozine D Plus Syrup,Ezycuf-D Syrup,Nausea,Vomiting,Loss of appetite,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry cough,,,,,,No,RESPIRATORY,,"Asthalin DX Syrup is a combination of three medicines: Phenylephrine, Chlorpheniramine Maleate, and Dextromethorphan Hydrobromide. Phenylephrine is a decongestant which narrows the small blood vessels providing relief from congestion or stuffiness in the nose.23 Jan 2024"
452,asthalin rotacaps,,,,,,Tachycardia,Tremors,Headache,Palpitations,Increased heart rate,Muscle cramp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,Benzyl Alcohols Derivatives,No,RESPIRATORY,Short acting β2-agonists,ASTHALIN ROTACAP contains Salbutamol which belongs to the group of medicines called Bronchodilators. It is used to provide a quick relief from the symptoms of asthma and chronic obstructive pulmonary disease (COPD) in adults and in children (aged 4 years or older).30 Nov 2022
453,atorlip 20 tablet,Atchol 20 Tablet,Lipikind 20 Tablet,Orvas 20 Tablet,Atorace 20 Tablet,Zivast 20 Tablet,Dyspepsia,Abdominal pain,Indigestion,Diarrhea,Joint pain,Nasopharyngitis (inflammation of the throat and nasal passages),Nausea,Pain in extremities,Urinary tract infection,Abnormal liver function tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,Prevention of Heart attack,,,,Pyrrole & heptanoic acid derivative,No,CARDIAC,HMG CoA inhibitors (statins),Atorlip 20 Tablet contains Atorvastatin 20mg which reduces the narrowing of blood vessels due to cholesterol by reducing bad cholesterol levels and increasing good cholesterol levels in the body thus preventing any risks of heart attack and stroke. Chemical Class: Pyrrole & heptanoic acid derivative.
454,altacef 500 tablet,Cefoxim 500 Tablet,Zefu 500 Tablet,Bigcef 500 Tablet,Cefakind 500 Tablet,Pulmocef 500 Tablet,Rash,Vomiting,Allergic reaction,Increased liver enzymes,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Intermediate spectrum {Second generation cephalosporins},No,ANTI INFECTIVES,Cephalosporins: 2nd generation,"Altacef tablet contains cefuroxime, a third-generation cephalosporin; the medication is a broad-spectrum antibiotic that acts on bacterial cell wall synthesis. Cefuroxime mainly attaches to penicillin-binding proteins and inhibits the cell wall synthesis of bacteria....26 Oct 2023"
455,amlokind 2.5 tablet,Amvasc 2.5mg Tablet,Ampine 2.5mg Tablet,Amcard 2.5 Tablet,Amlip 2.5 Tablet,Amlong 2.5 Tablet,Headache,Fatigue,Nausea,Abdominal pain,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),,,,Dihydropyridinecarboxylic acids derivatives,No,CARDIAC,Calcium channel blockers- Dihydropyridines (DHP),"Amlokind 2.5 Tablet: View Uses, Side Effects, Price and Substitutes"
456,ambistryn-s 0.75gm injection,,,,,,Skin rash,Vomiting,Fever,Vertigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Tuberculosis (TB),,,,,Aminoglycosides,No,ANTI INFECTIVES,Aminoglycosides,"Ambistryn-S 0.75gm Injection: View Uses, Side Effects, Price ... - 1mg"
457,ambulax-et tablet,Etidac P 0.5mg/20mg Tablet,Etipro Tablet,Etilax P 0.5mg/20mg Tablet,Ritebenz Beta 0.5mg/20mg Tablet,Betapro-ET Tablet,Confusion,Memory impairment,Drowsiness,Slow heart rate,Tiredness,Uncoordinated body movements,Nightmares,Cold extremities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anxiety disorder,,,,,,No,NEURO CNS,,"Ambulax-ET Tablet: View Uses, Side Effects, Price and Substitutes"
458,acceclowoc-p tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,,"Acceclowoc-P Tablet: View Uses, Side Effects, Price and Substitutes"
459,alprax forte 0.5 mg/50 mg tablet,Mares Plus 0.5mg/50mg Tablet,Restyl Forte 0.5 mg/50 mg Tablet,Alzy Plus 0.5mg/50mg Tablet,Altawin S 0.5mg/50mg Tablet,Alzex Forte 0.5 mg/50 mg Tablet,Nausea,Vomiting,Diarrhea,Confusion,Memory impairment,Uncoordinated body movements,Drowsiness,Tiredness,Delayed ejaculation,Anorgasmia (decreased orgasm),Low sexual desire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Depression,,,,,,Yes,NEURO CNS,,Alprax Forte 0.5 mg/50 mg Tablet - 1mg
460,alsita-m 100 tablet er,Macsita-MXR 100/500 Tablet,SitaOD MSR 100/500 Tablet,Sitawok M XR 500 Tablet,Istamet  XR 500 Tablet,Sitared-M XR100/500 Tablet,Hypoglycemia (low blood glucose level),Nausea,Vomiting,Diarrhea,Decreased appetite,Abdominal bloating,Upper respiratory tract infection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,,No,ANTI DIABETIC,,"Alsita-M 100 Tablet ER: View Uses, Side Effects, Price and Substitutes"
461,axogurd nt tablet sr,Nervotop Tablet SR,Pregahart NT 75mg/10mg Tablet SR,Methypro-NT Tablet SR,Novomine N 75mg/10mg Tablet SR,Preganut-N Tablet SR,Constipation,Difficulty in urination,Weight gain,Sleepiness,Dizziness,Tiredness,Blurred vision,Dryness in mouth,Increased heart rate,Orthostatic hypotension (sudden lowering of blood pressure on standing),Uncoordinated body movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Neuropathic pain,,,,,,No,NEURO CNS,,Axogurd NT Tablet SR is a combination of two medicines: Pregabalin and Nortriptyline. This medicine is useful in the treatment of nerve pain (neuropathic pain). It calms the damaged or overactive nerves by acting on the brain.29 Nov 2023
462,aclind bp 2.5% gel,Clinroz-BP 2.5% Gel,Duoclin-B Gel,Tyret B 1% Gel,Clin Bpo Gel,Decomedo Gel,Erythema (skin redness),Skin peeling,Dryness,Burning sensation,Itching,Stinging sensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Acne,,,,,,No,DERMA,,"Aclind BP 2.5% Gel is a combination of two medicines: Benzoyl Peroxide and Clindamycin, which treats pimples (acne) by penetrating into the skin and killing acne-causing bacteria. Benzoyl Peroxide additionally reduces oil production in the skin, replenishes the skin and helps keep your pores open.29 Nov 2023"
463,anxiset 0.5 tablet,Sanxit 0.5mg Tablet,Xentas 0.5mg Tablet,Spenzo 0.5 Tablet,Xolybex 0.5mg Tablet,Flp 0.5mg Tablet,Sleepiness,Orthostatic hypotension (sudden lowering of blood pressure on standing),Dryness in mouth,Abnormality of voluntary movements,Weight gain,Increased prolactin level in blood,Urinary retention,Constipation,Muscle stiffness,Tremors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Schizophrenia, Depression, Bipolar disorder,,,Thioxanthene derivative,No,NEURO CNS,Typical Antipsychotics,"Anxiset 0.5 MG Description

 wo active ingredients: flupenthixol 0.5 mg and melitracen 10 mg. Flupenthixol alters the action of chemical messengers in the brain. It alters the mood. Melitracen regulates the mood and helps tackle depression.25 Jan 2022"
464,atonide-h cream,Locort Cream,Sorias Cream,Urea HC Cream,Delster Cream,Drocort Cream,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Eczema, Severe allergic reactions,Treatment of Allergic conditions,Treatment of Cancer,Treatment of Skin disorders,Glucocorticoids,No,RESPIRATORY,Glucocorticoids,"Atonide-H Cream: View Uses, Side Effects, Price and Substitutes | 1mg"
465,aldonil tablet,Aristat 50mg Tablet,Eparel 50 Tablet,Aldorace 50mg Tablet,Nurestat 50mg Tablet,Epalridase 50mg Tablet,Nausea,Vomiting,Abnormal liver function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Diabetic nerve pain,,,,,Carboxylic acid Derivative,No,ANTI DIABETIC,Aldose reductase inhibitor,"Diabetic neuropathy is a chronic progressive nerve disease which causes nerve pain due to nerve damage in diabetic patients. It mostly affects the legs and feet. Aldonil Tablet 10's contains 'Epalrestat' that works by inhibiting aldose reductase enzyme, which catalyses the conversion of glucose to sorbitol."
466,anticold  tablet,Sino Tablet,Ephiros Tablet,,,,Vomiting,Headache,Restlessness,Anxiety,Dizziness,Tremors,Pale skin,High blood pressure,Seizure,Cerebral hemorrhage,Palpitations,Paresthesia (tingling or pricking sensation),Abdominal pain,Allergic reaction,Decreased appetite,Blurred vision,Dry nose,Dry throat,Excitement,Rash,,,,,,,,,,,,,,,,,,,,,,,Treatment of Common cold,,,,,,No,RESPIRATORY,,"Anti Cold Tablets Description

 It contains the combination of three active ingredients- paracetamol, cetirizine and phenylephrine.6 May 2022"
467,alcros 100 capsule,Itralase 100 Capsule,Canditral 100 Capsule,Syntran Capsule,Itrafree 100mg Capsule,Itromed 100 Capsule,Nausea,Common cold,Cough,Blurred vision,Menstrual disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azoles {Triazoles},No,OPHTHAL,Fungal ergosterol synthesis inhibitor,"Alcros 100 Capsule: View Uses, Side Effects, Price and Substitutes"
468,azibact 200 readymix oral suspension,Zythro 200mg Oral Suspension,Azimox 200mg Oral Suspension,Azimcin 200mg Oral Suspension,Uber 200 Oral Suspension,Aziitech 200mg Oral Suspension,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides,"Azibact 200 Readymix Oral Suspension: View Uses, Side Effects ..."
469,atchol 20 tablet,Lipikind 20 Tablet,Orvas 20 Tablet,Atorace 20 Tablet,Zivast 20 Tablet,Lipvas 20 Tablet,Dyspepsia,Abdominal pain,Indigestion,Diarrhea,Joint pain,Nasopharyngitis (inflammation of the throat and nasal passages),Nausea,Pain in extremities,Urinary tract infection,Abnormal liver function tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,Prevention of Heart attack,,,,Pyrrole & heptanoic acid derivative,No,CARDIAC,HMG CoA inhibitors (statins),"Atchol 20 tablet contains atorvastatin as the active ingredient. atorvastatin is a member of the statin class of medicines, which are used to control lipid (fat) levels in the body. This medicine works by preventing the action of a chemical necessary for cholesterol formation.26 Oct 2023"
470,azibest 500mg tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides,"Azibest 500mg Tablet: View Uses, Side Effects, Price and Substitutes"
471,amoxy 500mg capsule,Tormoxin 500mg Capsule,Cipmox 500 Capsule,Tidoxyl 500mg Capsule,Actimox 500mg Capsule,SB Mox 500mg Capsule,Rash,Vomiting,Allergic reaction,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Aminopenicillins {Penicillins},No,ANTI INFECTIVES,Cell wall active agent -Extended spectrum Penicillin,"Amoxy 500mg Capsule: View Uses, Side Effects, Price and Substitutes"
472,a-ret 0.05% gel,Trion Gel,Retop-A 0.05% Gel,Truoin Gel,,,Erythema (skin redness),Skin irritation,Dry skin,Dry lips,Pale red skin,Increased sensitivity to light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Acne, Acute promyelocytic leukaemia,,,,Retinoids,No,DERMA,Retinoids- First generation,"HighlightsBuffering: Triethanolamine.Emollient: Olive Oil PEG-7 Esters, Caprylic/​Capric Triglyceride.Emulsifying: PEG-4 Olivate, Olive Oil PEG-7 Esters.Moisturizer/humectant: Propylene Glycol.Perfuming: Propyl Hydroxybenzoate.Preservative: Methyl Hydroxybenzoate, Propyl Hydroxybenzoate."
473,adenosine 3mg injection,Adenoject 3mg Injection,Adenocor 3mg Injection,Adnet 3mg Injection,,,"Flushing (sense of warmth in the face, ears, neck and trunk)",Dizziness,Lightheadedness,Nausea,Headache,Numbness,Chest pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Arrhythmia,,,,,Purine nucleosides,No,CARDIAC,Miscellaneous agents- anti arrhythmic,"Expand AllAdenosine 3mg/ml Solution for Injection.Each 1ml of solution contains 3mg of adenosine. Each vial contains 6mg of adenosine per 2ml of solution (3mg/ml). It also contains 3.54mg (0.15mmol) of sodium per 1ml of solution. ... Solution for injection (injection). Clear, colourless solution."
474,ascoril plus tablet,Oripect Tablet,Brethex 100mg/2.5mg/8mg Tablet,Pulmo Rest S 100 mg/2.5 mg/8 mg Tablet,Rex Tablet,Mahaq 100 mg/2.5 mg/8 mg Tablet,Nausea,Diarrhea,Bloating,Indigestion,Vomiting,Stomach pain,Sweating,Dizziness,Headache,Skin rash,Hives,Tremors,Increased heart rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Cough with mucus,,,,,,No,RESPIRATORY,,"Ascoril Plus Strip Of 15 Tablets Description

 Ascoril Tablet contains guaifenesin (guaiphenesin), terbutaline and bromhexine. Guaifenesin is an expectorant group of medicine, terbutaline is a bronchodilator, and bromhexine is a mucolytic group of medicine.4 Jun 2021"
475,azulix 2 mf forte tablet pr,Glimiprex MF Forte 2 Tablet PR,Glimestar-M2 Forte Tablet PR,Geminor M2 Forte Tablet PR,Glimisave M2 Forte Tablet PR,Glimisave Max Forte 2 Tablet PR,Hypoglycemia (low blood glucose level),Headache,Nausea,Diarrhea,Flatulence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,,No,ANTI DIABETIC,,Azulix 2 MF Forte Tablet PR is a combination of two medicines: Glimepiride and Metformin. This medicine is used in the treatment of type 2 diabetes mellitus (DM). It improves blood glucose levels in adults when taken along with proper diet and regular exercise.29 Nov 2023
476,amlokind-h tablet,Amoline H 5mg/12.5mg Tablet,Amvio H 5 mg/12.5 mg Tablet,L Core 5 mg/12.5 mg Tablet,AMLOCAD-H 5MG/12.5MG TABLET,Amleod H 5mg/12.5mg Tablet,Glucose intolerance,Sleepiness,Ankle swelling,Headache,"Flushing (sense of warmth in the face, ears, neck and trunk)",Tiredness,Palpitations,Nausea,Increased blood uric acid,Decreased potassium level in blood,Altered blood lipid level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure),,,,,,No,CARDIAC,,Product Summary
477,aziderm 10% gel,Zebor Gel,Acnerus AZ 10% Gel,Ezanic 10% Gel,,,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Acne,,,,,Medium-Chain Fatty Acids,No,DERMA,Antimicrobials- Acne,"Aziderm 10% Gel: View Uses, Side Effects, Price and Substitutes | 1mg"
478,amlopin-m tablet pr,Gudpres-AM 50 Tablet PR,Protol-AM Tablet PR,Amlodac M Tablet PR,Amlovas XM  5/50 Tablet PR,Prolomet AM 50 Tablet PR,Nausea,Slow heart rate,Abdominal pain,Dizziness,Fatigue,Sleepiness,Ankle swelling,Constipation,Edema (swelling),"Flushing (sense of warmth in the face, ears, neck and trunk)",Palpitations,Headache,Vomiting,Visual disturbance,Orthostatic hypotension (sudden lowering of blood pressure on standing),Breathlessness,Muscle cramp,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,No,CARDIAC,,"Amlopin M (5/50 mg) Tablet is a combination medicine that consists of amlodipine and metoprolol. It is used for the treatment of high blood pressure, abnormal heart rhythms and heart failure. It slows down the activity of your heart and relaxes your blood vessels, allowing your heart to pump blood more easily.16 Sept 2021"
479,ascodex junior syrup,Respicure-D Syrup,Chericof Syrup,Respicure-D Syrup,Ataqued Syrup,Ascoril D Junior Cough Syrup,Nausea,Vomiting,Loss of appetite,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry cough,,,,,,No,RESPIRATORY,,"Ascodex Junior Bottle Of 60ml Syrup Description

 It contains three active ingredients, namely chlorpheniramine, dextromethorphan and phenylephrine. It works by reducing the symptoms of allergies, cough and nasal congestion or blockage due to allergy. Ascodex Junior Syrup is effective for treating dry cough.23 May 2022"
480,alevo 500 tablet,Nirliv 500mg Tablet,Levocef 500mg Tablet,Levoshan 500mg Tablet,Lek 500mg Tablet,Qulef 500mg Tablet,Headache,Dizziness,Nausea,Constipation,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Fluoroquinolone,No,OPHTHAL,Quinolones/ Fluroquinolones,"Alevo 500 MG Description

 It contains levofloxacin as its main ingredient that belongs to the group of antibiotics called fluoroquinolone. Take this medicine as prescribed by your doctor. Some common side effects of this tablet include a headache, dizziness, nausea and also diarrhoea.26 Oct 2023"
481,avanair 200 tablet,Avanext 200 Tablet,,,,,Headache,"Flushing (sense of warmth in the face, ears, neck and trunk)",Nasal congestion (stuffy nose),Nasopharyngitis (inflammation of the throat and nasal passages),Back pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Erectile dysfunction,,,,,Pyrimidinecarboxamides,No,SEX STIMULANTS REJUVENATORS,,"Avanair 200 Tablet: View Uses, Side Effects, Price and Substitutes"
482,atorlip 40 tablet,Atorless 40mg Tablet,Atchol 40 Tablet,Lipikind 40 Tablet,Mactor 40 Tablet,Atorsave 40 Tablet,Dyspepsia,Abdominal pain,Indigestion,Diarrhea,Joint pain,Nasopharyngitis (inflammation of the throat and nasal passages),Nausea,Pain in extremities,Urinary tract infection,Abnormal liver function tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,Prevention of Heart attack,,,,Pyrrole & heptanoic acid derivative,No,CARDIAC,HMG CoA inhibitors (statins),"Atorlip 40 MG Description

 It contains atorvastatin as its active ingredient, also known as statins. This medicine is used as an adjuvant to diet in patients with high cholesterol and abnormal levels of cholesterol. This medicine decreases the synthesis of cholesterol in the body.31 Oct 2023"
483,anafortan-mf 50mg/250mg tablet,Bigspas M 50mg/250mg Tablet,Spasmonorm M Tablet,,,,Nausea,Vomiting,Dryness in mouth,Heartburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Abdominal cramp,,,,,,No,GASTRO INTESTINAL,,Anafortan-MF 50mg/250mg Tablet is a combination of two medicines: Camylofin and Mefenamic Acid which relieve abdominal pain and cramps. Camylofin is an anti-cholinergic which relaxes the muscles in the stomach and gut (intestine) and stops sudden muscle contractions (spasms).29 Nov 2023
484,amitriptyline hcl 25mg tablet,Amidep 25mg Tablet,Amitril 25mg Tablet,Amitar 25mg Tablet,Latilin 25mg Tablet,Amiford 25mg Tablet,Constipation,Dryness in mouth,Orthostatic hypotension (sudden lowering of blood pressure on standing),Weight gain,Aggressive behavior,Nasal congestion (stuffy nose),Sleepiness,Dizziness,Headache,Decreased libido,Nausea,Fatigue,Confusion,Tremors,Speech disorder,Palpitations,Taste change,Paresthesia (tingling or pricking sensation),Abnormality of voluntary movements,Loss of accommodation,Atrioventricular block,Micturition disorders,Erectile dysfunction,Abnormal ECG,Decreased sodium level in blood,,,,,,,,,,,,,,,,,,Treatment of Depression, Neuropathic pain,Treatment of Migraine,,,Dibenzocycloheptenes Derivative,No,NEURO CNS,Tricyclic antidepressants,"Structure for Amitriptyline (DB00321)10,11-dihydro-5-(γ-dimethylaminopropylidene)-5H-dibenzo(a,d)cycloheptene.10,11-dihydro-N,N-dimethyl-5H-dibenzo(a,d)heptalene-Δ5,γ-propylamine.3-(10,11-dihydro-5H-dibenzo(a,d)cyclohepten-5-ylidene)-N,N-dimethyl-1-propanamine."
485,aqsusten  25 solution for injection,,,,,,Hot flushes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hormone replacement therapy,Treatment of Female infertility,,,,Progesterone Derivative,No,GYNAECOLOGICAL,Natural Progesterone,"Aqsusten 25 Solution for Injection contains progesterone, a female hormone that is important in the regulation of ovulation and menstruation. It is used to cause menstrual periods in women who have not reached menopause but are not having periods due to a lack of natural progesterone in the body.2 Jan 2024"
486,amicet 5 mg/60 mg tablet,Fedcet-A Tablet,Luzer-A 5mg/60mg Tablet,Mzic D 5mg/60mg Tablet,Lzitop A 5mg/60mg Tablet,Arileev-AM 5mg/60mg Tablet,Upset stomach,Dryness in mouth,Headache,Fatigue,Sleepiness,Allergic reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Cough,,,,,,No,RESPIRATORY,,"Amicet 5 mg/60 mg Tablet is a cough reliever that combines two medicines: levocetirizine and ambroxol. Antiallergic levocetirizine is used to treat runny noses, watery eyes, and sneezing. Ambroxol is a mucolytic, meaning it thins and loosens mucus (phlegm) to make coughing easier.9 Feb 2023"
487,amrox junior syrup,Lecof A Syrup,Rithmax BM Syrup,Kufril Syrup,Kind X Syrup,Bronkolyte PD Syrup,Excessive salivation,Fatigue,Paresthesia (tingling or pricking sensation),Stomach discomfort,Arrhythmia (irregular heartbeats),Nausea,Vomiting,Diarrhea,Dizziness,Headache,Rash,Tremors,Increased heart rate,Indigestion,Bloating,Upper abdominal pain,Urticaria,Itching,Sweating,Changes in serum aminotransferase levels,,,,,,,,,,,,,,,,,,,,,,,Treatment of Cough with mucus,,,,,,No,RESPIRATORY,,"Amrox Junior Syrup is a combination of ambroxol, guaiphenesin and terbutaline, as its active ingredients. It is used to treat cough associated with infections in the airways, asthma, shortness of breath and lung infections.17 Jul 2022"
488,atm 250 tablet,Azicip 250 Tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides,"ATM 250 Tablet: View Uses, Side Effects, Price and Substitutes | 1mg"
