id,name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,sideEffect33,sideEffect34,sideEffect35,sideEffect36,sideEffect37,sideEffect38,sideEffect39,sideEffect40,sideEffect41,use0,use1,use2,use3,use4,Chemical Class,Habit Forming,Therapeutic Class,Action Class
8754,acito p 100mg/500mg tablet,Xtra P 100 mg/500 mg Tablet,Jetace 100 mg/500 mg Tablet,Acebloc P 100 mg/500 mg Tablet,Icobit P 100 mg/500 mg Tablet,Aclomp P 100 mg/500 mg Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
8755,allariz m 10mg/120mg tablet,Emlukast-FX Tablet,LCFEX-Mont Tablet,Fixar 10mg/120mg Tablet,Histakind-M Tablet,Histafree-M Tablet,Nausea,Diarrhea,Vomiting,Skin rash,Flu-like symptoms,Headache,Drowsiness,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,,,,,,No,RESPIRATORY,
8756,anicold 2mg/500mg/5mg tablet,ANACOLD TABLET,Gocold Plus Tablet,Dristan Cold Tablet,Benakof 2 mg/500 mg/5 mg Tablet,S-Cold 2mg/500mg/5mg Tablet,Nausea,Headache,Insomnia (difficulty in sleeping),Dizziness,Tachycardia,Palpitations,Fear,Anxiety,Restlessness,Tremors,Weakness,Discomfort when urinating,Hallucination,Convulsion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Common cold,,,,,,No,RESPIRATORY,
8757,artifer tablet,Baxmether 80mg/480mg Tablet,Alither Forte Tablet,Nexther LF 80mg/480mg Tablet,Nivaquine-Lumart 80mg/480mg Tablet,Lumaria Tablet,Headache,Loss of appetite,Dizziness,Weakness,Muscle pain,Joint pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Malaria,,,,,,No,ANTI MALARIALS,
8758,ag-bact ointment,Mupisoft Ointment,T-Bact 2% Ointment,Fricin 2% Ointment,B Bact Ointment,Mupifen Ointment,Itching,Burning sensation,Stinging sensation,Pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial skin infections,,,,,Natural crotonic acid derivative {Medium-chain fatty acids},No,DERMA,Cell membrane active agent
8759,althor 500mg tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Zithrox 500 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
8760,atorapid 40mg tablet,Drlipid 40mg Tablet,Atorless 40mg Tablet,Atchol 40 Tablet,Lipikind 40 Tablet,Mactor 40 Tablet,Dyspepsia,Abdominal pain,Indigestion,Diarrhea,Joint pain,Nasopharyngitis (inflammation of the throat and nasal passages),Nausea,Pain in extremities,Urinary tract infection,Abnormal liver function tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,Prevention of Heart attack,,,,Pyrrole & heptanoic acid derivative,No,CARDIAC,HMG CoA inhibitors (statins)
8761,abiclin-n gel,Clinsol Gel,Acnetoin Gel,Clintok N Gel,Acnesol-NC Gel,Clindwin Gel,Skin peeling,Dry skin,Erythema (skin redness),Burning sensation at the site of application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Acne,,,,,,No,DERMA,
8762,acon sp 100mg/325mg/15mg tablet,Vetory SP Tablet,Ibugesic ASP Tablet,Acemiz-S Tablet,Dolokind AA Tablet,Anaflam Xps  Tablet,Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
8763,acpa-sp tablet,Vetory SP Tablet,Ibugesic ASP Tablet,Acemiz-S Tablet,Dolokind AA Tablet,Anaflam Xps  Tablet,Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
8764,agedryl syrup,Swidril Syrup,Decodil Syrup,Tordryl Syrup,Excup Syrup,Dynadril Syrup,Stomach pain/epigastric pain,Allergic reaction,Sleepiness,Dizziness,Thickened respiratory tract secretions,Impaired coordination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Cough,,,,,,No,RESPIRATORY,
8765,anspas forte 500mg/450mg tablet,Eldospas Forte 500 mg/450 mg Tablet,Spasmonil Forte Tablet,Gimef Forte 500 mg/450 mg Tablet,Mefpar 500mg/450mg Tablet,Mefcin 500mg/450mg Tablet,Nausea,Vomiting,Diarrhea,Indigestion,Loss of appetite,Heartburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,Treatment of Fever,,,,,No,PAIN ANALGESICS,
8766,alciz m syrup,Cethol M Syrup,Histamune-M Syrup,Olmont Syrup,Lukast-M Syrup,Cetsafe M Syrup,Rash,Nausea,Diarrhea,Dryness in mouth,Fatigue,Headache,Skin rash,Sleepiness,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,Treatment of Hay fever,Treatment of Allergic skin conditions,,,,No,RESPIRATORY,
8767,akticet l 5mg tablet,L Dio 1 Tablet,Lecope Tablet,LCZ Tablet,1-AL Tablet,L Hist Tablet,Sleepiness,Fatigue,Dryness in mouth,Headache,Vomiting,Nasopharyngitis (inflammation of the throat and nasal passages),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Allergic conditions,,,,,Piperazine Derivatives,No,RESPIRATORY,H1 Antihistaminics (second Generation)
8768,aceriv-sp tablet,Vetory SP Tablet,Ibugesic ASP Tablet,Acemiz-S Tablet,Dolokind AA Tablet,Anaflam Xps  Tablet,Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
8769,alafex 180mg tablet,Lcfex 180 Tablet,Fexofen 180mg Tablet,Histafree 180 Tablet,Vilofex 180 Tablet,Fexert 180mg Tablet,Headache,Drowsiness,Dizziness,Nausea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,Treatment of Allergic conditions,,,,Diphenylmethane Derivative,No,RESPIRATORY,H1 Antihistaminics (second Generation)
8770,acito p 100mg/500mg tablet,Xtra P 100 mg/500 mg Tablet,Jetace 100 mg/500 mg Tablet,Acebloc P 100 mg/500 mg Tablet,Icobit P 100 mg/500 mg Tablet,Aclomp P 100 mg/500 mg Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
8771,azomycin 100mg oral suspension,Azit 100mg Oral Suspension,Azigo 100mg Oral Suspension,Zithrodol 100 Oral Suspension,Aziwin 100mg Oral Suspension,Azythro 100 Oral Suspension,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
8772,anset r injection,Ranidom ON + Rantdn Injection,Reden O Injection,,,,Diarrhea,Constipation,Headache,Drowsiness,Fatigue,Muscle pain,Dryness in mouth,Flushing of skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Gastroesophageal reflux disease (Acid reflux), Nausea, Acidity,,,,No,GASTRO INTESTINAL,
8773,azunate ab 75mg injection,L Ther 75mg Injection,Chingasu 75mg Injection,Falsitis 75mg Injection,Falcicure 75mg Injection,Artimal 75mg Injection,Headache,Weakness,Dizziness,Joint pain,Muscle pain,"Injection site reactions (pain, swelling, redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Malaria,,,,,Sesquiterpine lactones,No,ANTI MALARIALS,Antimalarial- Artemisinin and derivatives
8774,airkast 10mg tablet,Moto 10mg Tablet,Solukast 10mg Tablet,Ebmont 10mg Tablet,Lasma 10 Tablet,Symkast DX 10mg Tablet,Nausea,Vomiting,Headache,Diarrhea,Abdominal pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,,,,,"1,3-Diarylpropanoid Derivative",No,RESPIRATORY,Leukotriene antagonists
8775,acenip plus 100 mg/325 mg/15 mg tablet,Vetory SP Tablet,Ibugesic ASP Tablet,Acemiz-S Tablet,Dolokind AA Tablet,Anaflam Xps  Tablet,Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
8776,acibro syrup,Erophylline Syrup,Albro 100mg/5ml Syrup,Mucoreg 100mg Syrup,Abolin 100mg Syrup,,Nausea,Headache,Vomiting,Upset stomach,Restlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Chronic obstructive pulmonary disease (COPD),,,,,Xanthinic Derivatives,No,RESPIRATORY,Theophylline & its derivatives
8777,art eye drop,Wat-R Eye Drop,Just Tears Eye Drop,Takfresh Eye Drop,Misty Eye Drop,Relub Eye Drop,Eye irritation,Burning eyes,Eye discomfort,Eye itching,Eye pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry eyes,,,,,Cellulose Derivative,No,OPHTHAL,Tear substitues
8778,azolam 0.25mg tablet,Alltop 0.25mg Tablet,Alprasafe 0.25mg Tablet,Nindra 0.25mg Tablet,Alora 0.25mg Tablet,Exal 0.25mg Tablet,Lightheadedness,Drowsiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anxiety,Treatment of Panic disorder,,,,Benzodiazepines Derivative,Yes,NEURO CNS,Benzodiazepines
8779,azil 200mg syrup,Azitex 200mg Syrup,Azimik 200mg Syrup,Azigro 200mg Syrup,Aszith 200mg Syrup,Azimylin 200mg Syrup,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
8780,altamox duo 625mg tablet,Penciclav 500 mg/125 mg Tablet,Moxikind-CV 625 Tablet,Moxiforce-CV 625 Tablet,Fightox 625 Tablet,Novamox CV 625mg Tablet,Vomiting,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,,No,ANTI INFECTIVES,
8781,adplatin 100mg injection,Celdach 100mg Injection,Oxpla 100mg Injection,Oxaliptin 100mg Injection,Megaplat 100mg Injection,Oxalimax 100mg Injection,Nausea,Fatigue,Anemia (low number of red blood cells),Vomiting,Diarrhea,Decreased white blood cell count (neutrophils),Low blood platelets,Increased liver enzymes,Peripheral neuropathy (tingling and numbness of feet and hand),Stomatitis (Inflammation of the mouth),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Cancer of colon and rectum,,,,,Platinum Analogs,No,ANTI NEOPLASTICS,Platinum compounds-Anticancer
8782,alrax 10mg syrup,Oltrex 10mg/5ml Syrup,Xtrex 10mg Syrup,Calmer 10mg Syrup,Pruclam 10mg Syrup,Prucalm 10mg Syrup,Sedation,Nausea,Vomiting,Upset stomach,Constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anxiety,Treatment of Skin conditions with inflammation & itching,,,,Piperazine Derivative,No,RESPIRATORY,H1 Antihistaminics (First Generation)
8783,apeline 2mg syrup,Add App 2mg/5ml Syrup,Toractin 2mg/5ml Syrup,Apeton 2mg/5ml Syrup,Cipron Syrup,Cycoplan 2mg Syrup,Dizziness,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Allergic conditions, Appetite stimulant,,,,Dibenzocycloheptenes Derivative,No,VITAMINS MINERALS NUTRIENTS,H1 Antihistaminics (First Generation)
8784,azin 250mg tablet,Azicip 250 Tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
8785,abate-cz tablet,Acimol MR 100mg/325mg/250mg Tablet,Kapinac CZ Tablet,Zoceclo MR 100mg/325mg/250mg Tablet,Acelyn MR 100mg/325mg/250mg Tablet,Lyfenac-MR Tablet,Nausea,Vomiting,Heartburn,Stomach pain,Diarrhea,Loss of appetite,Tiredness,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Muscular pain,,,,,,No,PAIN ANALGESICS,
8786,acezo plus 100mg/325mg/10mg tablet,Asozen SR Plus 100mg/325mg/10mg Tablet,Accept-SP Tablet,Combifenac SP 100mg/325mg/10mg Tablet,Aceloflam SP Tablet,Parofen-S Tablet,Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
8787,agumerz cv 500mg/125mg tablet,Penciclav 500 mg/125 mg Tablet,Themiclav 500mg/125mg Tablet,Moxikind-CV 625 Tablet,Moxiforce-CV 625 Tablet,Novamox CV 625mg Tablet,Vomiting,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,,No,ANTI INFECTIVES,
8788,athrab 20mg tablet,Cyra 20mg Tablet,Pepcia 20 Tablet,Rabesec 20 Tablet,Rabium 20 Tablet,Rabicip 20 Tablet,Diarrhea,Dizziness,Flatulence,Headache,Nausea,Sore throat,Stomach pain,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Gastroesophageal reflux disease (Acid reflux),Treatment of Peptic ulcer disease,,,,Sulfinylbenzimidazole Derivative,No,GASTRO INTESTINAL,Proton pump inhibitors
8789,aquadol p 100mg/325mg tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
8790,atorxam 40mg tablet,Drlipid 40mg Tablet,Atorless 40mg Tablet,Atchol 40 Tablet,Lipikind 40 Tablet,Mactor 40 Tablet,Dyspepsia,Abdominal pain,Indigestion,Diarrhea,Joint pain,Nasopharyngitis (inflammation of the throat and nasal passages),Nausea,Pain in extremities,Urinary tract infection,Abnormal liver function tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,Prevention of Heart attack,,,,Pyrrole & heptanoic acid derivative,No,CARDIAC,HMG CoA inhibitors (statins)
8791,azinac 500mg tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
8792,azomaxx 250mg tablet,Azicip 250 Tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
8793,amiford 10 tablet,Relidep 10mg Tablet,Amitone 10mg Tablet,Tryp 10mg Tablet,Amitril 10mg Tablet,Odep 10mg Tablet,Constipation,Dryness in mouth,Orthostatic hypotension (sudden lowering of blood pressure on standing),Weight gain,Aggressive behavior,Nasal congestion (stuffy nose),Sleepiness,Dizziness,Headache,Decreased libido,Nausea,Fatigue,Confusion,Tremors,Speech disorder,Palpitations,Taste change,Paresthesia (tingling or pricking sensation),Abnormality of voluntary movements,Loss of accommodation,Atrioventricular block,Micturition disorders,Erectile dysfunction,Abnormal ECG,Decreased sodium level in blood,,,,,,,,,,,,,,,,,,Treatment of Depression, Neuropathic pain,Treatment of Migraine,,,Dibenzocycloheptenes Derivative,No,NEURO CNS,Tricyclic antidepressants
8794,asef-p tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
8795,aziwar 250mg tablet,Azicip 250 Tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
8796,averca 50mg/10mg tablet,Bludec-SP Tablet,Seracure D 50mg/10mg Tablet,Alser D 50mg/10mg Tablet,Diser Tablet,Diclomol SP 10 Tablet,Nausea,Vomiting,Heartburn,Stomach pain,Indigestion,Diarrhea,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
8797,arcin 250mg tablet,Azicip 250 Tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
8798,acithio-plus tablet,Bignac-MR 4 Tablet,Neorelax A 4mg Tablet,Thioquest A 100 mg/4 mg Tablet,Canace-TH4 Tablet,Thichoren AC 4 Tablet,Nausea,Vomiting,Heartburn,Stomach pain/epigastric pain,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Pain due to muscle spasm,,,,,,No,PAIN ANALGESICS,
8799,allmet 500mg tablet sr,Maxformin 500mg Tablet SR,Metlong 500 Tablet SR,Bigomet SR 500 Tablet,Zomet 500mg Tablet SR,Metsmall 500 Tablet SR,Diarrhea,Nausea,Vomiting,Flatulence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,Biguanides Derivative,No,ANTI DIABETIC,Biguanides
8800,alanz tablet,Chymomerg Tablet,Edinase  Tablet,Afdiflam Tablet,Jubiflam Tablet,Inflachek Tablet,No common side effects seen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
8801,adiflam 50mg injection,Doflex 50mg Injection,Zonac 50mg Injection,Agiflam 50mg Injection,Dicloter 50mg Injection,Diclosyn 50mg Injection,Limb pain,"Injection site reactions (pain, swelling, redness)",Edema (swelling),Nausea,Headache,Dizziness,Vomiting,Itching,Flatulence,Indigestion,Pain in extremities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,Phenylacetic acid Derivative,No,PAIN ANALGESICS,NSAID's- Non-Selective COX 1&2 Inhibitors (acetic acid)
8802,agipam 1mg tablet,Lzepam 1mg Tablet,Lopam 1mg Tablet,Lorel 1mg Tablet,Larpose 1mg Tablet,Texina 1mg Tablet,Dizziness,Weakness,Sedation,Balance disorder (loss of balance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Short term anxiety,Treatment of Anxiety disorder,,,,Benzodiazepines Derivative,Yes,RESPIRATORY,Benzodiazepines
8803,acarex 25mg tablet,K Carb 25mg Tablet,Glubose 25mg Tablet,Glucarb 25mg Tablet,AC 25mg Tablet,Esbose 25mg Tablet,Flatulence,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,Aminocyclitol glycosides,No,ANTI DIABETIC,Alpha-glucosidase inhibitors
8804,agipam 1mg tablet,Lzepam 1mg Tablet,Lopam 1mg Tablet,Lorel 1mg Tablet,Larpose 1mg Tablet,Texina 1mg Tablet,Dizziness,Weakness,Sedation,Balance disorder (loss of balance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Short term anxiety,Treatment of Anxiety disorder,,,,Benzodiazepines Derivative,Yes,RESPIRATORY,Benzodiazepines
8805,allmet 500mg tablet sr,Maxformin 500mg Tablet SR,Metlong 500 Tablet SR,Bigomet SR 500 Tablet,Zomet 500mg Tablet SR,Metsmall 500 Tablet SR,Diarrhea,Nausea,Vomiting,Flatulence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,Biguanides Derivative,No,ANTI DIABETIC,Biguanides
8806,acipant dsr 30mg/40mg capsule,Pendom-OD Capsule SR,Pentaloc DSR 30mg/40mg Capsule,PP Set DSR Capsule,Pantex-D SR Capsule,Paro-DSR Capsule,Diarrhea,Stomach pain,Flatulence,Dryness in mouth,Dizziness,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gastroesophageal reflux disease (Acid reflux),Treatment of Peptic ulcer disease,,,,,No,GASTRO INTESTINAL,
8807,anacof syrup,Xalphen Syrup,Amlody Syrup,Xpen X Syrup,S Cof Syrup,Avrax A Syrup,Nausea,Stomach discomfort,Diarrhea,Vomiting,Allergic reaction,Dizziness,Headache,Rash,Hives,Tremors,Palpitations,Muscle cramp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Cough,,,,,,No,RESPIRATORY,
8808,aclozest th 100mg/4mg tablet,Micronac TC 100mg/4mg Tablet,Bignac-MR 4 Tablet,Neorelax A 4mg Tablet,Thioquest A 100 mg/4 mg Tablet,Canace-TH4 Tablet,Nausea,Vomiting,Heartburn,Stomach pain/epigastric pain,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Pain due to muscle spasm,,,,,,No,PAIN ANALGESICS,
8809,acimar ox oral gel,Pilcain Oral Gel,Elox Oral Gel,Oxypep Oral Gel,Maxicain Oral Gel,Acecaine Oral Gel,Constipation,Diarrhea,Dizziness,Weakness,Drowsiness,Dryness in mouth,Headache,Hypersensitivity,Loss of appetite,Nausea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Local anesthesia (Numb tissues in a specific area),,,,,,No,GASTRO INTESTINAL,
8810,avoreb capsule sr,Rabetero-L Capsule SR,Pepcia-L Capsule SR,Xpep L 75mg/20mg Capsule SR,Derek L Capsule SR,Rabicip-L Capsule SR,Nausea,Stomach pain,Diarrhea,Flatulence,Constipation,Headache,Dizziness,Weakness,Sleepiness,Flu-like symptoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gastroesophageal reflux disease (Acid reflux),Treatment of Intestinal ulcers,Treatment of Irritable bowel syndrome,,,,No,GASTRO INTESTINAL,
8811,alcam plus 0.5mg/10mg tablet,Joycom Plus 0.5 mg/10 mg Tablet,Essita Plus Tablet,Galop Plus 10 Tablet,Censpram Plus Tablet,Feliz S Plus Tablet,Delayed ejaculation,Confusion,Vomiting,Memory impairment,Drowsiness,Tiredness,Anorgasmia (decreased orgasm),Low sexual desire,Nausea,Diarrhea,Uncoordinated body movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anxiety disorder,,,,,,Yes,NEURO CNS,
8812,anitra 200 capsule,Candiforce 200 Capsule,Candirap 200 Capsule,Candiforce 200 Capsule,Canditral 200 Capsule,Syntran 200 Capsule,Nausea,Common cold,Cough,Blurred vision,Menstrual disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azoles {Triazoles},No,OPHTHAL,Fungal ergosterol synthesis inhibitor
8813,amlodip 2.5mg tablet,Ampine 2.5mg Tablet,Amcard 2.5 Tablet,Amlokind 2.5 Tablet,Amlip 2.5 Tablet,Amlong 2.5 Tablet,Headache,Fatigue,Nausea,Abdominal pain,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),,,,Dihydropyridinecarboxylic acids derivatives,No,CARDIAC,Calcium channel blockers- Dihydropyridines (DHP)
8814,acelix mr 100mg/325mg/250mg tablet,Acimol MR 100mg/325mg/250mg Tablet,Actines MR 100mg/325mg/250mg Tablet,Liberache MR 100mg/325mg/250mg Tablet,Zoceclo MR 100mg/325mg/250mg Tablet,Acelyn MR 100mg/325mg/250mg Tablet,Nausea,Vomiting,Heartburn,Stomach pain,Diarrhea,Loss of appetite,Tiredness,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Muscular pain,,,,,,No,PAIN ANALGESICS,
8815,aziflex 250mg tablet,Azicip 250 Tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
8816,amn 200mg tablet sr,Algic 200mg Tablet SR,Topnac 200mg Tablet SR,Kindac 200mg Tablet SR,Ultranac 200mg Tablet SR,Bignac 200mg Tablet SR,Dizziness,Indigestion,Nausea,Abdominal pain,Increased liver enzymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,Dichlorobenzenes Derivative,No,PAIN ANALGESICS,NSAID's- Non-Selective COX 1&2 Inhibitors (acetic acid)
8817,aropred 1% eye drop,Renisol Eye Drop,Predace 1% Eye Drop,Pcort Eye Drop,Preds Eye Drop,Prednisafe Eye Drop,Burning sensation,Eye irritation,Watery eyes,Blurred vision,Reduction in bone density,Upset stomach,Behavioral changes,Mood changes,Weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Redness and swelling in the eye,Treatment of Severe allergic reactions,Treatment of Allergic conditions,Treatment of Rheumatic disorder,Treatment of Skin disorders,Glucocorticoids,No,OPHTHAL OTOLOGICALS,Glucocorticoids
